Pathway	ERR1995231_bin.1	ERR1995231_bin.10	ERR1995231_bin.11	ERR1995231_bin.12	ERR1995231_bin.13	ERR1995231_bin.14	ERR1995231_bin.15	ERR1995231_bin.16	ERR1995231_bin.17	ERR1995231_bin.18	ERR1995231_bin.19	ERR1995231_bin.2	ERR1995231_bin.20	ERR1995231_bin.21	ERR1995231_bin.22	ERR1995231_bin.23	ERR1995231_bin.24	ERR1995231_bin.25	ERR1995231_bin.26	ERR1995231_bin.27	ERR1995231_bin.28	ERR1995231_bin.29	ERR1995231_bin.3	ERR1995231_bin.30	ERR1995231_bin.31	ERR1995231_bin.32	ERR1995231_bin.33	ERR1995231_bin.4	ERR1995231_bin.5	ERR1995231_bin.6	ERR1995231_bin.7	ERR1995231_bin.8	ERR1995231_bin.9
Multidrug resistance, efflux pump NorB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetracycline resistance, efflux pump Tet38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MepA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump QacA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexAB-OprM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	1	1	1
Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	2	2	1	2	2	2	2	2	2	2	0	2	2	2	4	2	2	2	2	2	0	2	1	2	0	2	2	2	2	0	0	0	0
Methylaspartate cycle	6	5	6	7	6	6	7	5	7	7	7	8	7	6	9	6	6	6	5	5	6	6	5	3	6	7	6	5	6	7	6	5	5
Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	7	9	10	10	10	12	12	12	10	9	10	9	10	10	12	9	10	9	10	9	9	10	9	8	10	10	9	12	9	10	10	9	10
Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Imipenem resistance, repression of porin OprD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, repression of porin OmpF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	3	4	4	3	3	3	3	3	4	4	3	4	3	3	4	3	4	3	3	3	4	3	3	2	3	4	4	4	4	3	3	3	3
Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Multidrug resistance, efflux pump MexPQ-OpmE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin	8	0	0	0	0	0	8	8	0	0	0	0	0	0	8	0	0	0	0	0	0	9	8	8	0	0	0	0	0	0	0	8	0
Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	1	2	1	1	2	2	2	1	1	2	1	2	1	1	2	1	0	2	1	1	1	2	2	1	2	1	1	2	2	2	2	2	2
Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	3	3	2	2	3	3	3	3	2	3	2	3	3	3	3	2	1	3	3	2	1	3	3	3	3	2	2	3	3	4	3	3	3
Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	5	6	6	5	5	5	5	5	6	5	6	5	5	5	6	5	3	5	5	5	3	5	5	6	5	5	5	5	6	5	5	5	5
Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	1	1	3	4	3	2	2	1	3	3	3	3	2	2	4	2	1	2	1	2	3	2	1	0	3	4	1	1	0	2	3	2	3
Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	1	1	1	1	1	2	2	1	1	1	2	1	2	1	4	1	1	1	2	1	1	1	2	3	2	3	1	1	3	1	2	1	1
Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	2	2	1	2	2	2	2	2	1	2	1	1	1	2	2	1	1	2	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2
Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1
Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3
Cycloserine biosynthesis, arginine/serine => cycloserine	1	5	5	0	6	6	6	6	5	6	5	5	5	6	5	6	5	5	5	5	5	5	5	0	5	5	6	6	5	5	5	5	5
Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacilysin biosynthesis, prephenate => bacilysin	4	5	5	5	5	5	4	4	6	6	4	5	5	5	6	4	6	5	6	4	5	4	5	5	5	6	5	3	6	3	5	5	5
Terpentecin biosynthesis, GGAP => terpentecin	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rebeccamycin biosynthesis, tryptophan => rebeccamycin	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	7	0	0	0	0	1	6	6	6
Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	1	0	2	1	1	1	2	1	1	1	1	1	1	1	3	1	2	1	0	0	1	1	1	1	2	1	0	1	0	2	1	1	1
dTDP-L-rhamnose biosynthesis	5	5	5	3	5	5	5	5	5	5	4	4	5	5	5	5	4	5	4	5	5	5	5	5	5	5	5	4	5	4	4	5	5
dTDP-6-deoxy-D-allose biosynthesis	2	1	2	1	2	2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	1	1	2	2
dTDP-beta-L-noviose biosynthesis	2	0	2	0	2	2	2	2	3	2	0	0	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	0	1	0	1	2	2
dTDP-D-mycaminose biosynthesis	1	2	1	0	1	1	1	2	2	1	1	1	2	2	1	2	2	2	2	1	1	1	2	0	2	2	2	2	1	1	1	1	1
dTDP-D-desosamine biosynthesis	1	5	5	2	3	3	3	4	5	4	4	3	5	4	4	5	5	5	3	4	5	4	5	1	5	5	4	4	5	1	4	5	4
dTDP-L-mycarose biosynthesis	3	1	3	1	3	3	3	3	4	3	1	1	3	5	3	3	1	3	1	4	3	3	3	3	3	3	4	1	3	1	1	3	3
dTDP-L-oleandrose biosynthesis	3	1	2	1	2	2	2	3	3	2	1	1	2	3	2	2	1	2	1	3	2	2	2	3	2	2	3	1	2	1	1	2	2
dTDP-L-megosamine biosynthesis	2	2	3	1	2	3	3	2	3	3	2	2	4	5	3	3	2	3	1	4	3	3	3	2	3	3	5	1	4	1	1	3	3
dTDP-L-olivose biosynthesis	3	0	2	1	1	2	1	3	2	1	1	1	1	3	1	0	1	1	0	3	1	0	1	2	1	1	2	1	2	1	0	1	1
dTDP-D-forosamine biosynthesis	1	2	3	2	2	3	3	3	4	1	3	2	4	5	3	3	4	4	0	3	3	2	3	0	4	4	4	3	3	2	2	4	4
dTDP-D-angolosamine biosynthesis	2	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1
Complete nitrification, comammox, ammonia => nitrite => nitrate	0	0	0	1	0	2	2	0	0	0	1	0	0	0	3	0	1	0	1	0	1	1	1	3	0	0	0	0	0	2	0	0	0
Staurosporine biosynthesis, tryptophan => staurosporine	3	2	1	1	2	2	3	2	1	2	1	3	1	3	3	1	1	3	2	0	2	3	3	3	3	2	1	2	2	2	3	3	3
Violacein biosynthesis, tryptophan => violacein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	1	1	6	1	7	1	1	2	5	1	8	1	6	2	8	6	2	7	2	1	5	7	8	1	6	5	1	1	1	7	6	6	2
Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	2	1	4	1	4	3	1	1	6	1	4	0	6	1	4	2	0	3	0	1	3	5	5	3	6	5	1	1	1	5	5	3	4
Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	4	5	5	5	5	6	5	4	5	5	6	5	5	5	6	5	5	5	5	4	5	4	6	3	6	5	6	3	5	5	4	5	6
Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	6	5	6	6	6	7	6	6	7	7	5	5	7	7	8	7	6	6	5	7	6	4	7	5	6	7	7	6	6	6	6	7	6
Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Chlortetracycline biosynthesis, pretetramide => chlortetracycline	2	1	2	2	2	3	3	2	2	2	2	2	3	2	5	2	2	2	2	1	2	2	3	4	3	4	1	2	3	2	3	2	2
9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	2	5	5	5	2	5	5	4	2	5	5	3	3	3	4	2	3	3	3	3	2	5	3	2	3	2	3	4	3	2	2	3	3
C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	3	2	1	2	3	3	3	3	2	2	1	2	2	2	4	3	1	2	2	2	1	2	2	2	1	2	2	3	1	1	1	1	1
Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP	3	2	1	2	2	3	3	3	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	3	1	2	2	3	2	1	1	1	1
3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	1	2	2	2	2	1	1	1	1
Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	3	2	1	2	2	2	3	3	2	2	1	2	2	2	2	1	1	2	2	2	0	2	2	2	1	2	2	3	3	1	1	1	1
Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	1	0	2	2	0	2	0	1	2	2	2	2	1	0	0	2	0	0	0	0	2	2	2	0	2	1	0	1	0	0	2	2	2
Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	1	1	3	3	2	3	1	3	3	3	3	3	1	1	2	3	0	1	1	1	3	3	4	0	3	1	1	3	0	1	3	3	3
Calicheamicin biosynthesis, calicheamicinone => calicheamicin	2	2	1	2	1	1	2	2	1	1	2	2	1	1	2	1	0	2	2	1	0	1	2	2	2	1	1	2	1	3	2	2	1
Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	0	1	1	1	0	1	2	1	1	1	1	2	1	1	1	1	1
Pyocyanine biosynthesis, chorismate => pyocyanine	2	3	4	2	3	3	4	2	4	3	3	3	2	2	5	3	2	2	2	2	4	2	2	3	3	3	2	2	2	2	3	4	3
Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	2	3	4	2	4	2	4	2	4	2	4	4	2	2	2	2	2	4	4	4	4	4	4	2	4	5	2	2	2	2	4	4	4
Prodigiosin biosynthesis, L-proline => prodigiosin	8	4	5	6	7	7	9	7	5	6	4	7	6	5	7	6	3	6	6	7	4	6	6	6	6	6	5	7	5	5	5	3	5
Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	9	4	6	7	7	9	9	9	6	7	4	7	7	6	9	6	4	7	6	7	3	7	6	6	6	7	6	9	6	5	5	4	6
Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	3	1	3	2	0	5	5	4	3	4	4	2	3	2	5	2	4	3	3	2	3	5	2	4	2	3	4	4	1	3	4	2	2
Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	3	1	1	3	1	3	3	3	2	3	3	1	2	1	3	1	3	2	1	1	1	3	1	2	1	1	3	3	1	3	3	1	1
Tetrahydrobiopterin biosynthesis, GTP => BH4	2	0	0	2	0	2	2	2	2	1	1	0	2	0	2	0	1	2	0	0	0	1	0	1	0	0	1	2	0	1	1	0	0
L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	3	1	1	3	1	3	3	3	3	2	2	1	3	1	3	1	2	3	1	1	1	2	1	2	1	1	2	3	1	2	2	1	1
Arginine biosynthesis, ornithine => arginine	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4
Arginine biosynthesis, glutamate => acetylcitrulline => arginine	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Siroheme biosynthesis, glutamyl-tRNA => siroheme	6	10	10	6	6	8	7	6	10	10	9	7	10	6	11	6	6	7	6	7	7	10	10	10	7	10	6	6	10	7	6	6	8
Heme biosynthesis, archaea, siroheme => heme	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	2	3	3	3	2	3	3	3	3	2	2	3	3	3
Aurachin biosynthesis, anthranilate => aurachin A	2	2	2	2	1	2	2	2	2	2	2	2	3	2	3	2	2	3	2	3	2	2	2	2	2	2	2	1	2	2	3	2	3
C5 isoprenoid biosynthesis, mevalonate pathway, archaea	4	6	5	6	5	6	6	6	6	6	5	6	6	4	6	4	4	6	6	5	4	4	6	5	5	6	4	6	3	6	5	7	5
Vibrio cholerae pathogenicity signature, cholera toxins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carbapenem resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio cholerae pathogenicity signature, toxin coregulated pilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETEC pathogenicity signature, colonization factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycogen biosynthesis, glucose-1P => glycogen/starch	5	5	4	5	4	5	5	5	5	5	4	4	4	5	5	4	5	5	4	5	5	4	5	2	5	5	5	5	5	4	5	5	5
Glycogen degradation, glycogen => glucose-6P	7	7	7	7	7	8	8	8	7	7	7	7	7	7	8	7	8	7	7	7	8	7	7	2	8	7	7	8	7	7	7	8	7
Salmonella enterica pathogenicity signature, typhoid toxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella enterica pathogenicity signature, Vi antigen	2	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2
Bacillus anthracis pathogenicity signature, anthrax toxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-Oxidation, peroxisome, VLCFA	0	0	2	2	2	0	0	0	0	2	0	2	0	0	1	1	1	0	0	0	2	0	0	0	2	2	0	0	0	0	2	0	2
beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1
KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	10	5	4	7	6	10	10	10	5	5	5	5	5	6	9	4	4	4	7	4	4	5	5	10	7	5	5	10	5	5	5	7	6
KDO2-lipid A modification pathway	1	2	1	2	1	3	4	3	2	1	3	2	2	2	2	2	2	2	2	2	2	1	2	1	4	1	1	2	2	0	2	2	3
Heme biosynthesis, animals and fungi, glycine => heme	3	4	3	1	1	4	4	3	3	4	3	2	6	1	8	1	1	3	1	1	1	4	4	6	1	4	1	4	4	2	1	1	1
O-glycan biosynthesis, mannose type (core M3)	0	0	2	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	2	0	0	0	0	0	2	0	0	1	0	0	2	1
Fatty acid biosynthesis in mitochondria, animals	3	3	3	2	3	4	3	3	3	3	2	3	3	3	4	3	1	3	3	3	1	3	3	3	2	3	3	2	3	2	2	2	2
Fatty acid biosynthesis in mitochondria, fungi	3	3	3	2	3	4	3	3	3	3	3	3	3	3	4	3	1	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	3
Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	2	3	3	2	2	2	2	3	2	3	2	2	3	2	5	2	2	2	2	2	2	2	2	4	2	3	2	2	3	3	2	2	2
Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	1	1	1	1	1	0	0	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	0	3	3	3	3	3	3	2	3	3
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	6	3	7	6	5	7	7	5	4	6	4	6	4	4	11	7	3	2	5	4	5	4	4	6	6	6	4	5	4	3	6	3	6
Arginine succinyltransferase pathway, arginine => glutamate	2	2	3	2	2	1	1	1	3	2	2	2	2	2	5	2	2	2	1	1	2	3	3	1	2	2	2	1	2	2	2	2	2
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	4	1	6	1	6	4	4	4	3	1	6	1	1	1	8	1	1	1	1	4	6	6	6	8	3	6	1	3	1	8	6	6	4
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	2	0	1	0	1	2	2	2	1	1	0	0	1	1	2	1	0	1	1	1	1	1	0	2	0	1	1	0	0	1	1	0	0
Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	2	0	1	0	1	2	2	2	1	1	0	0	1	1	2	1	0	1	1	1	1	1	0	2	0	1	1	0	0	1	1	0	0
Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	3	0	1	0	1	4	4	2	1	1	0	0	2	1	4	1	0	1	1	1	1	1	0	2	0	1	1	0	0	1	1	0	1
Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0
Puromycin biosynthesis, ATP => puromycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseoflavin biosynthesis, FMN => roseoflavin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	2	4	3	4	3	4	4	3	3	4	3	4	4	4	3	3	3	4	4	3	4	3	3	3	3	4	4	3	3	3	4	3	4
Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	7	9	8	8	9	9	9	5	9	9	7	9	9	9	9	7	7	9	9	9	9	9	8	8	8	9	7	6	8	9	8	9	5
Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	5	6	5	5	6	6	6	4	6	6	5	6	6	6	6	5	5	6	6	6	6	6	5	5	5	6	5	5	5	6	4	6	5
Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	1	3	2	2	3	3	3	1	3	3	2	3	3	3	2	2	2	3	3	2	3	3	2	1	2	3	2	1	2	3	1	3	2
Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
Thiamine salvage pathway, HMP/HET => TMP	4	5	5	5	5	5	5	3	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	3	5	5
Crocin biosynthesis, crocetin => crocin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	1	1	1	2	1	1	1	1	1	3	1	1	1	1	3	1	3	1	1	3	1	0	3	2	1	1	1	1	1	0	3	1	3
Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C	1	1	1	2	2	1	1	2	0	1	2	1	1	0	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	0	2	2
Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Ethynylserine biosynthesis, lysine => ethynylserine	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	5	7	7	7	7	7	6	7	7	7	7	7	7	6	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	6	1	5	1	0	6	6	6	6	5	0	0	5	1	5	6	1	5	1	1	6	5	2	4	1	6	1	6	1	1	5	1	1
NAD biosynthesis, tryptophan => quinolinate => NAD	7	8	8	6	8	6	7	6	7	7	8	7	8	6	7	7	7	8	7	6	7	7	7	8	6	7	6	6	8	7	7	8	6
Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	4	2	2	4	2	4	4	4	2	4	2	4	2	2	4	2	2	2	2	2	4	2	2	4	2	4	2	4	2	2	2	2	2
Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	4	3	3	5	3	3	4	3	3	4	3	3	2	1	5	1	3	3	3	3	3	3	3	4	1	4	1	4	2	3	1	2	2
Caffeine degradation, caffeine => xanthine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	1	1	2	2	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	2	2	1	2	2	2	2	1
Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
