ko	pathway	ERR1995246_bin.1	ERR1995246_bin.10	ERR1995246_bin.11	ERR1995246_bin.12	ERR1995246_bin.13	ERR1995246_bin.14	ERR1995246_bin.15	ERR1995246_bin.16	ERR1995246_bin.17	ERR1995246_bin.18	ERR1995246_bin.19	ERR1995246_bin.2	ERR1995246_bin.20	ERR1995246_bin.21	ERR1995246_bin.22	ERR1995246_bin.23	ERR1995246_bin.24	ERR1995246_bin.3	ERR1995246_bin.4	ERR1995246_bin.5	ERR1995246_bin.6	ERR1995246_bin.7	ERR1995246_bin.8	ERR1995246_bin.9
ko05146	Amoebiasis	1	2	2	1	2	1	3	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2	2
ko05150	Staphylococcus aureus infection	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko05152	Tuberculosis	0	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1
ko05160	Hepatitis C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05161	Hepatitis B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05162	Measles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05163	Human cytomegalovirus infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05164	Influenza A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05165	Human papillomavirus infection	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
ko05166	Human T-cell leukemia virus 1 infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05167	Kaposi sarcoma-associated herpesvirus infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05168	Herpes simplex virus 1 infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05169	Epstein-Barr virus infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05170	Human immunodeficiency virus 1 infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05171	Coronavirus disease - COVID-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05200	Pathways in cancer	2	3	3	2	2	3	4	3	3	2	3	2	2	2	3	3	2	3	1	2	3	3	3	4
ko05202	Transcriptional misregulation in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05203	Viral carcinogenesis	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
ko05204	Chemical carcinogenesis - DNA adducts	2	1	1	1	1	1	4	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2
ko05205	Proteoglycans in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05206	MicroRNAs in cancer	0	0	2	2	2	2	2	2	0	0	1	1	0	1	3	2	2	2	0	0	1	1	2	2
ko05207	Chemical carcinogenesis - receptor activation	2	1	1	0	1	1	3	1	0	1	2	0	1	0	0	0	0	1	1	0	0	1	1	2
ko05208	Chemical carcinogenesis - reactive oxygen species	4	5	6	3	3	4	7	5	4	4	5	3	4	4	4	4	3	4	2	3	3	5	6	6
ko05210	Colorectal cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05211	Renal cell carcinoma	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko05212	Pancreatic cancer	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1
ko05213	Endometrial cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05214	Glioma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05215	Prostate cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05216	Thyroid cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05217	Basal cell carcinoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05218	Melanoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05219	Bladder cancer	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1
ko05220	Chronic myeloid leukemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05221	Acute myeloid leukemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05222	Small cell lung cancer	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05223	Non-small cell lung cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05224	Breast cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05225	Hepatocellular carcinoma	1	1	1	0	2	1	2	1	1	0	2	1	0	1	1	1	0	1	0	1	1	1	1	2
ko05226	Gastric cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05230	Central carbon metabolism in cancer	7	7	8	7	7	9	9	7	7	6	5	7	7	6	7	9	7	10	7	7	4	7	10	8
ko05231	Choline metabolism in cancer	2	1	2	2	2	1	2	2	2	2	1	1	2	0	1	2	2	1	1	2	2	1	3	2
ko05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05310	Asthma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05320	Autoimmune thyroid disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05321	Inflammatory bowel disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05322	Systemic lupus erythematosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05323	Rheumatoid arthritis	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0
ko05330	Allograft rejection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05332	Graft-versus-host disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05340	Primary immunodeficiency	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0
ko05410	Hypertrophic cardiomyopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05412	Arrhythmogenic right ventricular cardiomyopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05414	Dilated cardiomyopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05415	Diabetic cardiomyopathy	5	5	5	5	5	6	7	5	5	5	5	5	5	5	5	6	4	6	5	5	5	5	6	5
ko05416	Viral myocarditis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05417	Lipid and atherosclerosis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05418	Fluid shear stress and atherosclerosis	2	2	2	1	2	2	4	2	2	1	3	2	1	2	2	2	1	2	1	2	2	2	2	3
