Pathway	ERR1995246_bin.1	ERR1995246_bin.10	ERR1995246_bin.11	ERR1995246_bin.12	ERR1995246_bin.13	ERR1995246_bin.14	ERR1995246_bin.15	ERR1995246_bin.16	ERR1995246_bin.17	ERR1995246_bin.18	ERR1995246_bin.19	ERR1995246_bin.2	ERR1995246_bin.20	ERR1995246_bin.21	ERR1995246_bin.22	ERR1995246_bin.23	ERR1995246_bin.24	ERR1995246_bin.3	ERR1995246_bin.4	ERR1995246_bin.5	ERR1995246_bin.6	ERR1995246_bin.7	ERR1995246_bin.8	ERR1995246_bin.9
Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	0	1	1	1	1
Pyocyanine biosynthesis, chorismate => pyocyanine	4	3	2	3	0	4	5	2	2	3	3	3	3	4	3	4	2	3	3	3	1	4	5	2
Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	4	4	2	4	2	3	2	2	2	4	2	4	4	4	3	4	2	3	5	2	4	4	4	4
Prodigiosin biosynthesis, L-proline => prodigiosin	3	6	7	4	4	7	7	8	6	6	7	5	7	8	4	6	6	7	8	5	5	6	7	5
Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	4	7	9	4	5	8	8	9	7	7	7	5	7	9	5	7	7	8	8	6	6	7	8	6
Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	2	1	3	4	1	5	5	4	3	1	5	4	2	3	1	5	4	5	3	2	1	3	5	2
Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	1	1	3	3	1	3	3	3	2	1	2	3	1	2	1	3	3	3	2	3	1	1	3	1
Tetrahydrobiopterin biosynthesis, GTP => BH4	0	0	2	2	0	2	2	2	2	0	0	1	0	0	0	2	1	2	1	1	0	0	2	0
L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	1	1	3	3	1	3	3	3	3	1	1	2	1	1	1	3	2	3	2	2	1	1	3	1
Arginine biosynthesis, ornithine => arginine	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Arginine biosynthesis, glutamate => acetylcitrulline => arginine	7	7	7	7	2	7	7	6	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7
Siroheme biosynthesis, glutamyl-tRNA => siroheme	6	6	6	11	5	7	11	6	10	6	9	9	8	11	10	8	6	7	11	7	10	9	9	7
Heme biosynthesis, archaea, siroheme => heme	3	3	2	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3
Aurachin biosynthesis, anthranilate => aurachin A	2	1	2	2	2	2	3	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
C5 isoprenoid biosynthesis, mevalonate pathway, archaea	7	5	6	5	4	6	6	5	5	5	4	5	6	4	4	6	5	6	5	4	5	6	6	5
Vibrio cholerae pathogenicity signature, cholera toxins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carbapenem resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio cholerae pathogenicity signature, toxin coregulated pilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETEC pathogenicity signature, colonization factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycogen biosynthesis, glucose-1P => glycogen/starch	5	5	5	5	5	5	5	5	4	5	2	5	5	4	4	5	5	5	3	5	4	5	5	5
Glycogen degradation, glycogen => glucose-6P	8	7	8	7	7	8	7	7	7	7	2	7	7	5	7	8	8	8	2	8	7	7	8	7
Salmonella enterica pathogenicity signature, typhoid toxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella enterica pathogenicity signature, Vi antigen	2	1	2	1	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	2
Bacillus anthracis pathogenicity signature, anthrax toxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-Oxidation, peroxisome, VLCFA	0	2	0	0	0	0	1	1	0	2	0	0	2	2	0	0	0	0	2	1	1	2	0	2
beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1
KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	6	6	10	6	9	10	9	9	5	6	10	5	6	10	5	10	9	10	10	3	4	5	10	6
KDO2-lipid A modification pathway	2	1	3	2	1	4	2	3	2	2	1	3	2	1	1	3	2	3	2	3	3	2	4	2
Heme biosynthesis, animals and fungi, glycine => heme	1	1	3	5	1	4	8	3	6	1	7	3	2	6	4	4	3	4	5	1	3	3	3	1
O-glycan biosynthesis, mannose type (core M3)	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1
Fatty acid biosynthesis in mitochondria, animals	2	3	3	3	2	3	4	4	3	3	3	2	3	3	3	3	3	3	3	1	4	3	4	3
Fatty acid biosynthesis in mitochondria, fungi	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3
Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	2	2	2	2	3	2	6	3	3	2	2	2	2	4	2	2	1	2	3	3	2	2	2	2
Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	1	1	1	1	0	1	3	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1
Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	3	3	3	3	1	3	3	1	3	3	1	3	3	1	2	3	3	3	2	3	3	3	3	3
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	3	6	4	2	2	7	11	5	4	5	6	4	6	7	3	5	5	7	7	4	7	6	7	6
Arginine succinyltransferase pathway, arginine => glutamate	2	1	1	2	3	2	4	1	2	1	3	2	2	2	1	1	0	1	3	2	2	1	2	1
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	6	6	4	1	1	1	8	4	1	6	8	6	1	8	1	1	1	4	5	1	3	6	1	6
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	0	0	2	1	1	2	2	2	1	1	1	0	0	2	0	2	0	2	1	0	0	1	2	1
Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	0	0	2	1	1	2	2	2	1	1	1	0	0	2	0	2	0	2	1	0	0	1	2	1
Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	0	0	2	1	1	2	4	2	1	1	1	0	0	4	0	2	2	4	1	0	0	1	4	1
Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1	1
Puromycin biosynthesis, ATP => puromycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseoflavin biosynthesis, FMN => roseoflavin	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	3	3	3	3	1	3	3	3	4	3	3	4	4	3	4	3	3	4	3	3	3	4	4	4
Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	4	0
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	9	9	4	9	2	8	9	7	9	9	9	8	9	9	9	9	9	9	8	7	9	9	8	8
Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	6	6	4	6	2	6	6	5	6	6	6	5	5	6	6	6	6	6	6	5	6	6	6	5
Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	3	3	1	3	0	3	2	1	3	3	2	2	3	2	3	3	3	3	3	2	3	3	3	2
Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1
Thiamine salvage pathway, HMP/HET => TMP	5	5	3	5	1	5	5	5	5	5	5	4	4	5	5	5	4	5	5	5	5	5	5	5
Crocin biosynthesis, crocetin => crocin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	1	0	0
Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	1	1	1	1	2	1	2	1	1	1	1	1	1	3	1	2	1	1	3	3	1	1	3	1
Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C	2	2	1	1	0	1	1	1	1	2	0	2	1	0	1	2	2	1	1	2	1	2	2	1
Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B	0	1	1	0	0	1	1	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	1	0
Ethynylserine biosynthesis, lysine => ethynylserine	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1
UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	7	7	7	7	4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine	2	2	2	2	1	2	2	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2
Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	1	5	6	1	0	6	4	6	5	0	6	0	0	6	1	6	6	6	6	1	0	6	6	1
NAD biosynthesis, tryptophan => quinolinate => NAD	8	6	6	7	6	7	6	7	7	7	8	8	7	8	8	7	7	7	6	7	8	7	7	6
Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	2	2	4	4	2	4	4	3	2	2	2	4	4	4	2	4	2	4	4	2	2	4	4	2
Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	3	3	3	4	2	4	4	4	2	3	3	4	3	3	2	3	2	3	4	4	3	3	4	1
Caffeine degradation, caffeine => xanthine	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	2	1	1	2	0	1	1	1	2	1	1	2	2	2	1	1	2	1	2	2	0	2	1	2
Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
Aerobactin biosynthesis, lysine => aerobactin	1	0	1	0	0	0	4	2	0	0	1	1	0	1	0	1	0	1	1	1	1	0	2	2
Ectoine degradation, ectoine => aspartate	3	3	2	3	3	3	4	2	4	2	4	3	3	3	2	2	1	2	4	3	2	2	3	2
Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CMP-Neu5Ac biosynthesis	0	2	1	2	1	2	1	1	1	2	2	2	2	2	2	2	1	1	2	1	2	1	2	2
UDP-L-FucNAm biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	20	20	9	20	9	16	13	9	13	20	9	20	20	19	13	19	12	17	20	11	20	20	19	20
Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	14	14	7	14	8	13	12	8	11	14	9	14	13	13	12	14	10	13	15	8	14	15	13	13
Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	4	4	5	8	4	6	9	5	8	4	9	6	5	8	7	6	4	6	7	4	6	6	5	4
Gibberellin A12 biosynthesis, GAPP => GA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gibberellin A4/A1 biosynthesis, GA12/GA53 => GA4/GA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gibberellin A1 biosynthesis, GGPP => GA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Menaquinone biosynthesis, futalosine pathway	4	4	6	4	4	5	6	6	7	3	4	4	4	3	1	4	2	3	4	4	6	5	4	5
Menaquinone biosynthesis, modified futalosine pathway	3	3	5	3	3	3	4	5	5	2	2	3	3	2	1	3	1	3	3	3	4	3	3	4
Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	6	8	9	8	5	10	11	9	8	7	9	8	9	11	8	10	8	11	10	7	7	10	9	8
Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanofuran biosynthesis	4	4	3	4	2	3	4	3	4	4	4	4	4	5	4	3	3	3	4	4	4	4	3	4
Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	0	1	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	3	3	2	2	5	6	6	3	2	3	6	5	4	5	3	4	4	5	5	2	2	3	5	3
Pyrimidine degradation, uracil => 3-hydroxypropanoate	6	4	5	4	5	5	7	5	5	4	5	3	5	5	4	4	4	5	6	5	4	5	6	6
Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isoflavone biosynthesis, liquiritigenin/naringenin => daidzein/genistein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pterocarpan biosynthesis, daidzein => medicarpin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Reticuline biosynthesis, dopamine + 4HPAA => (S)-reticuline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morphine biosynthesis, (S)-reticuline => morphine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sanguinarine biosynthesis, (S)-reticuline => sanguinarine	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1
Noscapine biosynthesis, (S)-reticuline => noscapine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Arginine racemization, D-arginine => L-arginine	1	1	1	1	0	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1
Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate	5	4	4	5	4	5	5	5	6	4	7	5	5	6	5	4	4	5	6	6	5	5	6	5
Staphylopine biosynthesis, L-histidine => staphylopine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	3	3	2	3	2	3	3	2	2	3	2	3	3	3	2	3	2	3	3	3	3	3	3	3
Adenine ribonucleotide degradation, AMP => Urate	12	13	6	3	4	7	7	5	12	13	4	12	4	14	3	5	6	6	4	13	12	14	6	5
Guanine ribonucleotide degradation, GMP => Urate	14	15	7	5	6	8	7	6	12	15	5	13	6	16	5	7	8	8	6	15	13	14	8	7
